text,label
MGVCL Notice: Bill of Rs 9988 overdue for CA 805617171. Main line disconnection scheduled for 9:30 PM. Clear bill at https://secure-login-sbi-update.xyz/verify,1
"Dear User, your instant personal loan of Rs 341530 is pre-approved with 0% interest. Download loan APK: http://pnb-aadhaar-link-portal.site/kyc",1
"Dear Customer, Rs 42965.60 credited to your A/C XX7390 on 15-Feb by IMPS from GAURAV. Total Bal: Rs 74128.46.",0
Your Ola delivery partner Vikram is arriving in 14 mins. Please collect your order.,0
Parivahan Alert: Court summons issued for unpaid e-challan of Rs 4176. Pay online immediately: http://incometax-refund-claim.xyz/itr,1
"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs..",0
HDFC Bank Notice: NetBanking service suspended for A/C XX3222. Call manager at 9853383385 or visit http://mseb-quick-bill-support.top/app.apk,1
BlueDart Notice: Address incomplete for parcel #BD230468. Confirm delivery address here: http://echallan-parivahan-pay.site/fine,1
You always make things bigger than they are,0
"Part-time job vacancy: Simple online tasks, daily payout Rs 26935. Join telegram: http://icici-card-kyc-renew.online/login",1
ITR Notice: Refund of INR 20996 pending due to incorrect IFSC code. Update details immediately: http://kotak811-kyc-update.top/auth,1
"Dear SBI User, A/C XX8790 debited by Rs 43638.40 on 19Aug26 transfer to Rahul. Ref No 647108899471.",0
Income Tax Department: Tax refund of Rs 42058 approved for your PAN. Confirm bank account details here: http://echallan-parivahan-pay.site/fine,1
"Dear Customer, your electricity bill of Rs 24844.38 for Consumer ID 2156204 is due on 23-May. Pay via official app or portal.",0
Flipkart: Wishmaster Manish is out for delivery with your order. Reachable at 9869523094.,0
ITR Notice: Refund of INR 27499 pending due to incorrect IFSC code. Update details immediately: http://axis-pan-update-portal.xyz/login,1
"Dear Customer, Rs 21202.24 credited to your A/C XX6355 on 18-Apr by IMPS from MEGHA. Total Bal: Rs 89235.32.",0
"Dear Customer, Rs 10054.82 credited to your A/C XX6798 on 14-Nov by IMPS from ALOK. Total Bal: Rs 119788.21.",0
IRCTC: PNR 5454733111 Confirmed. Coach B5 Seat 41 (Side Lower). Train 12952 NDLS-MMCT Rajdhani.,0
Your DBS Bank Credit Card ending 1191 was charged Rs 14867.88 at Myntra on 18-Nov. Avail Limit: Rs 94804.46.,0
"332182 is your login OTP for BookMyShow app. NEVER share your OTP, password or PIN with anyone.",0
376129 is the OTP for SBI NetBanking login. Valid for 5 mins. Do not share OTP with anyone.,0
Indigo: Your flight 6E-498 from DEL to BOM is on time. Gate 4C. Web check-in available.,0
ITR Notice: Refund of INR 57887 pending due to incorrect IFSC code. Update details immediately: http://mseb-quick-bill-support.top/app.apk,1
ITR Notice: Refund of INR 82697 pending due to incorrect IFSC code. Update details immediately: http://phonepe-reward-scratch.site/claim,1
CRED: Your RBL Bank credit card bill of Rs 23475.37 is due in 3 days. Pay now to earn coins.,0
"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",1
"Dear Customer, your electricity bill of Rs 20514.65 for Consumer ID 8313540 is due on 24-Sep. Pay via official app or portal.",0
You have won a scratch card of Rs 24266 on your recent UPI payment. Scratch and claim: http://pnb-aadhaar-link-portal.site/kyc,1
You have won a scratch card of Rs 64946 on your recent UPI payment. Scratch and claim: http://sim-5g-upgrade-kyc.top/verify,1
"Dear Customer, your electricity bill of Rs 6337.94 for Consumer ID 1271591 is due on 21-Mar. Pay via official app or portal.",0
"Part-time job vacancy: Simple online tasks, daily payout Rs 50587. Join telegram: http://incometax-refund-claim.xyz/itr",1
ITR Notice: Refund of INR 11065 pending due to incorrect IFSC code. Update details immediately: http://canara-banking-alert.xyz/pan,1
Special Offer: Rs 72925 cashback credited to your Google Pay wallet. Click to transfer to bank: http://indiapost-parcel-update.top/address,1
Salary of INR 9971.12 credited to A/C XX8307 on 01-May by NEFT from INFOSYS LTD. Total Bal: Rs 34504.63.,0
URGENT: UPPCL bill overdue for CA#882211130. Power cutoff order issued. Call electricity officer at 9863516220 or pay: http://echallan-parivahan-pay.site/fine,1
Salary of INR 41071.58 credited to A/C XX2916 on 01-Apr by NEFT from INFOSYS LTD. Total Bal: Rs 19445.96.,0
BlueDart Notice: Address incomplete for parcel #BD332811. Confirm delivery address here: http://icici-card-kyc-renew.online/login,1
Indigo: Your flight 6E-159 from DEL to BLR is on time. Gate 2A. Web check-in available.,0
ITR Notice: Refund of INR 28968 pending due to incorrect IFSC code. Update details immediately: https://secure-login-sbi-update.xyz/verify,1
BlueDart Notice: Address incomplete for parcel #BD767450. Confirm delivery address here: http://incometax-refund-claim.xyz/itr,1
Indigo: Your flight 6E-282 from HYD to CCU is on time. Gate 5. Web check-in available.,0
CRED: Your DBS Bank credit card bill of Rs 35838.83 is due in 3 days. Pay now to earn coins.,0
"820070 is your login OTP for Zomato app. NEVER share your OTP, password or PIN with anyone.",0
India Post: Your package #IN793756 cannot be delivered due to wrong address. Update address within 12 hours: http://hdfc-kyc-verification.top/auth,1
Rs 38303.13 debited from your A/C XX7067 for Zepto order on 13-Apr. Updated Bal: Rs 102846.80 - HSBC,0
ITR Notice: Refund of INR 71278 pending due to incorrect IFSC code. Update details immediately: http://mseb-quick-bill-support.top/app.apk,1
E-Challan Notice: Vehicle KA-01-XX-5837 has 2 pending speed camera fines. Clear fine at http://canara-banking-alert.xyz/pan,1
"IDFC FIRST Bank Loan Offer: Rs 5,00,000 pre-approved without documents. Install official helper APK to disburse: http://indiapost-parcel-update.top/address",1
URGENT: BESCOM bill overdue for CA#794545023. Power cutoff order issued. Call electricity officer at 9893644010 or pay: http://daily-parttime-earn.club/register,1
Your OTP for card transaction of Rs 2538.97 at Dominos is 643846. Valid for 3 minutes - AU Small Finance Bank,0
Traffic Police: Notice for pending traffic violation e-challan of Rs 2648. Pay before court action at https://secure-login-sbi-update.xyz/verify,1
"Dear User, your instant personal loan of Rs 621920 is pre-approved with 0% interest. Download loan APK: http://incometax-refund-claim.xyz/itr",1
Income Tax Department: Tax refund of Rs 54815 approved for your PAN. Confirm bank account details here: http://paytm-security-update.club/paytm.apk,1
CRED: Your AU Small Finance Bank credit card bill of Rs 644.64 is due in 3 days. Pay now to earn coins.,0
"Part-time job vacancy: Simple online tasks, daily payout Rs 77641. Join telegram: http://mseb-quick-bill-support.top/app.apk",1
URGENT: TSSPDCL bill overdue for CA#625071248. Power cutoff order issued. Call electricity officer at 9888342061 or pay: http://bob-world-security.club/login,1
"Dear Customer, Rs 19358.32 credited to your A/C XX4306 on 14-Mar by NEFT from NIKHIL LTD. Total Bal: Rs 132016.74.",0
"Dear Customer, Rs 31432.13 credited to your A/C XX6482 on 11-Dec by NEFT from KAVITA LTD. Total Bal: Rs 113776.36.",0
E-Challan Notice: Vehicle KA-01-XX-2863 has 2 pending speed camera fines. Clear fine at http://daily-parttime-earn.club/register,1
"Dear Customer, your electricity bill of Rs 9177.76 for Consumer ID 5831852 is due on 21-Nov. Pay via official app or portal.",0
BlueDart Notice: Address incomplete for parcel #BD338593. Confirm delivery address here: http://incometax-refund-claim.xyz/itr,1
Amazon: Your package with order #535-4001826 will be delivered today by 8 PM.,0
261326 is the OTP for Kotak Mahindra Bank NetBanking login. Valid for 5 mins. Do not share OTP with anyone.,0
"377181 is your login OTP for Ola app. NEVER share your OTP, password or PIN with anyone.",0
"684448 is your login OTP for Zepto app. NEVER share your OTP, password or PIN with anyone.",0
298586 is the OTP for Yes Bank NetBanking login. Valid for 5 mins. Do not share OTP with anyone.,0
Parivahan Alert: Court summons issued for unpaid e-challan of Rs 2704. Pay online immediately: http://canara-banking-alert.xyz/pan,1
"Part-time job vacancy: Simple online tasks, daily payout Rs 7939. Join telegram: https://secure-login-sbi-update.xyz/verify",1
Income Tax Department: Tax refund of Rs 65328 approved for your PAN. Confirm bank account details here: http://sim-5g-upgrade-kyc.top/verify,1
IRCTC: PNR 6146499654 Confirmed. Coach B3 Seat 32 (Side Lower). Train 12952 NDLS-MMCT Rajdhani.,0
"Part-time job vacancy: Simple online tasks, daily payout Rs 44532. Join telegram: http://canara-banking-alert.xyz/pan",1
URGENT: IndusInd Bank Account XX2781 will be terminated today. Complete Aadhaar PAN re-verification: http://bses-quickpay-online.site,1
IRCTC: PNR 5883855770 Confirmed. Coach B4 Seat 57 (Side Lower). Train 12952 NDLS-MMCT Rajdhani.,0
"IndusInd Bank Loan Offer: Rs 5,00,000 pre-approved without documents. Install official helper APK to disburse: http://incometax-refund-claim.xyz/itr",1
Your OTP for card transaction of Rs 42115.19 at Zepto is 488423. Valid for 3 minutes - Union Bank of India,0
Rs 34940.12 debited from your A/C XX2121 for Blinkit order on 04-Aug. Updated Bal: Rs 133481.28 - HDFC Bank,0
Parivahan Alert: Court summons issued for unpaid e-challan of Rs 2718. Pay online immediately: https://secure-login-sbi-update.xyz/verify,1
Indigo: Your flight 6E-470 from PNQ to BLR is on time. Gate 5. Web check-in available.,0
You have won a scratch card of Rs 7775 on your recent UPI payment. Scratch and claim: https://secure-login-sbi-update.xyz/verify,1
Salary of INR 22005.84 credited to A/C XX3026 on 01-Aug by NEFT from INFOSYS LTD. Total Bal: Rs 44606.59.,0
BlueDart Notice: Address incomplete for parcel #BD916823. Confirm delivery address here: http://pnb-aadhaar-link-portal.site/kyc,1
IRCTC: PNR 2175710504 Confirmed. Coach B6 Seat 11 (Side Lower). Train 12952 NDLS-MMCT Rajdhani.,0
India Post: Your package #IN205365 cannot be delivered due to wrong address. Update address within 12 hours: http://bijli-bill-quickpay.xyz/pay,1
Special Offer: Rs 71723 cashback credited to your Amazon Pay wallet. Click to transfer to bank: http://bob-world-security.club/login,1
"Dear Customer, Rs 11201.61 credited to your A/C XX5643 on 14-Feb by NEFT from MEGHA LTD. Total Bal: Rs 54499.66.",0
Your Dominos order #960918 from Burger King is confirmed and being prepared.,0
"Dear SBI User, A/C XX9406 debited by Rs 24890.47 on 13Nov26 transfer to Manish. Ref No 133461104445.",0
"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve..",0
Flipkart: Wishmaster Manish is out for delivery with your order. Reachable at 9843894850.,0
"Dear Customer, your electricity bill of Rs 33462.74 for Consumer ID 6249559 is due on 25-Dec. Pay via official app or portal.",0
Your OTP for card transaction of Rs 6204.79 at BigBasket is 689854. Valid for 3 minutes - Bank of Baroda,0
BSES Rajdhani Notice: Bill of Rs 23751 overdue for CA 646547721. Main line disconnection scheduled for 9:30 PM. Clear bill at http://hdfc-kyc-verification.top/auth,1
URGENT: Bank of Baroda Account XX1855 will be terminated today. Complete Aadhaar PAN re-verification: http://sbi-yono-reward-points.online/claim,1
"Dear Customer, your electricity bill of Rs 5246.13 for Consumer ID 9537354 is due on 12-Sep. Pay via official app or portal.",0
IRCTC: PNR 2126167788 Confirmed. Coach B3 Seat 31 (Side Lower). Train 12952 NDLS-MMCT Rajdhani.,0
Indigo: Your flight 6E-136 from PNQ to BLR is on time. Gate 3B. Web check-in available.,0
Amazon Pay Festive Reward: Rs 59614 credit waiting in your wallet. Claim before expiration: http://canara-banking-alert.xyz/pan,1
Traffic Police: Notice for pending traffic violation e-challan of Rs 2398. Pay before court action at http://sbi-yono-reward-points.online/claim,1
CRED: Your Kotak Mahindra Bank credit card bill of Rs 22034.27 is due in 3 days. Pay now to earn coins.,0
Amazon: Your package with order #542-3633596 will be delivered today by 8 PM.,0
Thankyou so much for the call. I appreciate your care.,0
"Dear Customer, your electricity bill of Rs 7727.84 for Consumer ID 7951746 is due on 11-Aug. Pay via official app or portal.",0
Traffic Police: Notice for pending traffic violation e-challan of Rs 1103. Pay before court action at http://sbi-yono-reward-points.online/claim,1
Income Tax Department: Tax refund of Rs 72363 approved for your PAN. Confirm bank account details here: http://instant-dhan-loan-app.buzz/get,1
Special Offer: Rs 7449 cashback credited to your Cred wallet. Click to transfer to bank: http://daily-parttime-earn.club/register,1
344065 is your One Time Password (OTP) for AU Small Finance Bank NetBanking login. Valid for 5 mins. Do NOT share with anyone including bank officials.,0
Your Zomato order #459065 from Burger King is confirmed and being prepared.,0
URGENT: ICICI Bank Account XX6172 will be terminated today. Complete Aadhaar PAN re-verification: https://secure-login-sbi-update.xyz/verify,1
Flipkart: Wishmaster Neha is out for delivery with your order. Reachable at 9899562007.,0
Traffic Police: Notice for pending traffic violation e-challan of Rs 1651. Pay before court action at http://canara-banking-alert.xyz/pan,1
"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",0
Your Swiggy order #404170 from Burger King is confirmed and being prepared.,0
DO U WANT 2 MEET UP 2MORRO,0
ITR Notice: Refund of INR 37077 pending due to incorrect IFSC code. Update details immediately: http://echallan-parivahan-pay.site/fine,1
"Dear User, your instant personal loan of Rs 545080 is pre-approved with 0% interest. Download loan APK: http://daily-parttime-earn.club/register",1
DHBVN Notice: Bill of Rs 37917 overdue for CA 368198842. Main line disconnection scheduled for 9:30 PM. Clear bill at http://kotak811-kyc-update.top/auth,1
ITR Notice: Refund of INR 59486 pending due to incorrect IFSC code. Update details immediately: http://indiapost-parcel-update.top/address,1
Your Myntra order #815956 from Burger King is confirmed and being prepared.,0
Indigo: Your flight 6E-529 from HYD to CCU is on time. Gate 4C. Web check-in available.,0
ITR Notice: Refund of INR 14254 pending due to incorrect IFSC code. Update details immediately: https://secure-login-sbi-update.xyz/verify,1
Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.,0
Traffic Police: Notice for pending traffic violation e-challan of Rs 2714. Pay before court action at http://axis-pan-update-portal.xyz/login,1
CRED: Your Yes Bank credit card bill of Rs 6010.23 is due in 3 days. Pay now to earn coins.,0
Parivahan Alert: Court summons issued for unpaid e-challan of Rs 4677. Pay online immediately: http://icici-card-kyc-renew.online/login,1
Parivahan Alert: Court summons issued for unpaid e-challan of Rs 1445. Pay online immediately: http://kotak811-kyc-update.top/auth,1
That's cause your old. I live to be high.,0
Your OTP for Uber ride confirmation is 1754. Share with driver to start trip.,0
You have won a scratch card of Rs 34226 on your recent UPI payment. Scratch and claim: http://instant-dhan-loan-app.buzz/get,1
"Dear User, your instant personal loan of Rs 15800 is pre-approved with 0% interest. Download loan APK: http://kotak811-kyc-update.top/auth",1
ITR Notice: Refund of INR 50752 pending due to incorrect IFSC code. Update details immediately: http://echallan-parivahan-pay.site/fine,1
"Dear SBI User, A/C XX3258 debited by Rs 27973.54 on 05Jan26 transfer to Rahul. Ref No 562662629837.",0
Traffic Police: Notice for pending traffic violation e-challan of Rs 791. Pay before court action at http://mseb-quick-bill-support.top/app.apk,1
Flipkart: Wishmaster Manish is out for delivery with your order. Reachable at 9878579750.,0
Congratulations! You have received a cashback reward of Rs 1355 on Paytm. Claim directly to your bank account: http://pnb-aadhaar-link-portal.site/kyc,1
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",0
Your OTP for Uber ride confirmation is 2539. Share with driver to start trip.,0
Parivahan Alert: Court summons issued for unpaid e-challan of Rs 4436. Pay online immediately: http://echallan-parivahan-pay.site/fine,1
URGENT: AU Small Finance Bank Account XX9356 will be terminated today. Complete Aadhaar PAN re-verification: http://kotak811-kyc-update.top/auth,1
KSEB Notice: Bill of Rs 55216 overdue for CA 463904270. Main line disconnection scheduled for 9:30 PM. Clear bill at http://bob-world-security.club/login,1
104858 is the OTP for Punjab National Bank NetBanking login. Valid for 5 mins. Do not share OTP with anyone.,0
Salary of INR 10088.78 credited to A/C XX4688 on 01-Jun by NEFT from INFOSYS LTD. Total Bal: Rs 63425.52.,0
"Dear Customer, Rs 37575.69 credited to your A/C XX2604 on 02-Aug by IMPS from RITU. Total Bal: Rs 35388.91.",0
Rs 309.45 debited from your A/C XX7979 for Amazon order on 02-Oct. Updated Bal: Rs 54345.44 - SBI,0
"Dear Customer, INR 5695.25 debited from A/C XX3157 on 03-Jan. Info: UPI/BookMyShow. Available Bal: INR 46455.15 - Axis Bank",0
BlueDart Notice: Address incomplete for parcel #BD345015. Confirm delivery address here: http://incometax-refund-claim.xyz/itr,1
Income Tax Department: Tax refund of Rs 47039 approved for your PAN. Confirm bank account details here: http://kotak811-kyc-update.top/auth,1
Your Swiggy delivery partner Alok is arriving in 8 mins. Please collect your order.,0
IRCTC: PNR 2767347769 Confirmed. Coach B1 Seat 23 (Side Lower). Train 12952 NDLS-MMCT Rajdhani.,0
ITR Notice: Refund of INR 22434 pending due to incorrect IFSC code. Update details immediately: http://mseb-quick-bill-support.top/app.apk,1
"Dear Customer, Rs 13315.80 credited to your A/C XX3265 on 04-Apr by NEFT from POOJA LTD. Total Bal: Rs 84409.88.",0
ITR Notice: Refund of INR 58571 pending due to incorrect IFSC code. Update details immediately: http://bob-world-security.club/login,1
ITR Notice: Refund of INR 20006 pending due to incorrect IFSC code. Update details immediately: http://sbi-yono-reward-points.online/claim,1
Rs 28043.76 debited from your A/C XX6477 for Blinkit order on 03-Jul. Updated Bal: Rs 135272.76 - Yes Bank,0
URGENT: DHBVN bill overdue for CA#595578854. Power cutoff order issued. Call electricity officer at 9881458089 or pay: http://bses-quickpay-online.site,1
TNEB Notice: Bill of Rs 4167 overdue for CA 817182710. Main line disconnection scheduled for 9:30 PM. Clear bill at http://mseb-quick-bill-support.top/app.apk,1
Amazon: Your package with order #630-4893594 will be delivered today by 8 PM.,0
Your OTP for card transaction of Rs 36653.68 at MakeMyTrip is 722958. Valid for 3 minutes - Kotak Mahindra Bank,0
